user_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment
U000001,3,7,2214.18,5,4,5,545,冠军用户
U000002,16,1,985.54,3,1,3,313,其他
U000003,19,5,1087.51,3,4,3,343,其他
U000004,15,6,2038.0300000000002,3,4,4,344,忠实用户
U000005,2,10,2682.3,5,5,5,555,冠军用户
U000006,66,1,369.42,1,1,2,112,流失用户
U000007,23,2,430.76,2,1,2,212,其他
U000008,31,4,821.02,2,3,3,233,其他
U000009,21,6,1869.89,2,4,4,244,其他
U000010,29,5,820.73,2,4,3,243,其他
U000011,16,5,1458.6000000000001,3,4,4,344,忠实用户
U000012,50,3,1325.68,1,2,4,124,其他
U000013,12,12,3631.3,3,5,5,355,忠实用户
U000014,59,1,1198.4,1,1,3,113,其他
U000015,3,7,1459.16,5,4,4,544,冠军用户
U000016,6,11,4476.570000000001,4,5,5,455,冠军用户
U000017,32,1,158.7,2,1,1,211,其他
U000018,1,4,1755.3000000000002,5,3,4,534,其他
U000020,1,18,5385.290000000001,5,5,5,555,冠军用户
U000021,3,13,2324.9100000000003,5,5,5,555,冠军用户
U000022,57,3,585.73,1,2,2,122,其他
U000023,3,2,370.63000000000005,5,1,2,512,新用户
U000024,86,1,398.32,1,1,2,112,流失用户
U000025,26,11,2765.3499999999995,2,5,5,255,其他
U000026,13,4,491.84000000000003,3,3,2,332,其他
U000027,20,6,2190.38,3,4,5,345,忠实用户
U000028,14,4,1669.74,3,3,4,334,其他
U000029,6,2,430.42,4,1,2,412,新用户
U000030,5,14,4232.809999999999,5,5,5,555,冠军用户
U000031,5,5,1831.43,5,4,4,544,冠军用户
U000032,27,3,364.32000000000005,2,2,1,221,其他
U000033,5,6,2948.9400000000005,5,4,5,545,冠军用户
U000034,6,10,2040.56,4,5,4,454,冠军用户
U000035,12,3,1692.74,3,2,4,324,其他
U000036,20,2,590.18,3,1,2,312,其他
U000037,23,7,1018.2299999999999,2,4,3,243,其他
U000038,3,2,502.91,5,1,2,512,新用户
U000040,13,6,1169.2399999999998,3,4,3,343,其他
U000041,7,4,1151.5300000000002,4,3,3,433,其他
U000042,15,2,262.97,3,1,1,311,新用户
U000043,2,5,333.15999999999997,5,4,1,541,其他
U000044,35,3,848.38,2,2,3,223,其他
U000045,3,12,2366.44,5,5,5,555,冠军用户
U000046,6,7,2122.39,4,4,5,445,冠军用户
U000048,24,4,594.89,2,3,2,232,其他
U000049,5,2,485.34000000000003,5,1,2,512,新用户
U000050,20,2,164.24,3,1,1,311,新用户
U000051,13,4,324.06000000000006,3,3,1,331,需要关怀的用户
U000052,8,6,1302.61,4,4,4,444,忠实用户
U000053,78,1,325.79999999999995,1,1,1,111,流失用户
U000054,26,4,1024.06,2,3,3,233,其他
U000055,39,4,404.01,1,3,2,132,其他
U000056,13,3,1227.8300000000002,3,2,3,323,其他
U000058,31,3,1027.21,2,2,3,223,其他
U000059,9,4,999.8299999999999,4,3,3,433,其他
U000060,19,2,58.89,3,1,1,311,新用户
U000062,5,8,4630.860000000001,5,5,5,555,冠军用户
U000063,24,3,181.15,2,2,1,221,其他
U000064,19,2,1091.1200000000001,3,1,3,313,其他
U000065,34,4,572.56,2,3,2,232,其他
U000066,8,5,1136.17,4,4,3,443,其他
U000067,5,4,2032.1499999999999,5,3,4,534,其他
U000068,79,3,577.9100000000001,1,2,2,122,其他
U000069,24,6,1507.9,2,4,4,244,其他
U000070,13,8,1478.37,3,5,4,354,忠实用户
U000071,46,2,194.28,1,1,1,111,流失用户
U000072,20,9,1596.15,3,5,4,354,忠实用户
U000073,3,3,378.89000000000004,5,2,2,522,其他
U000074,35,3,446.88,2,2,2,222,其他
U000075,52,2,783.71,1,1,3,113,其他
U000076,20,10,2483.34,3,5,5,355,忠实用户
U000077,84,1,203.5,1,1,1,111,流失用户
U000078,16,6,1236.0500000000002,3,4,4,344,忠实用户
U000079,2,2,1044.0,5,1,3,513,其他
U000080,37,2,1307.03,2,1,4,214,大客户
U000081,1,7,2585.4300000000003,5,4,5,545,冠军用户
U000082,39,4,2149.01,1,3,5,135,其他
U000084,44,4,1589.55,1,3,4,134,其他
U000085,22,3,643.72,2,2,2,222,其他
U000086,44,3,1123.8700000000001,1,2,3,123,其他
U000087,3,8,1626.5300000000002,5,5,4,554,冠军用户
U000088,30,6,1263.2299999999998,2,4,4,244,其他
U000089,19,12,3434.69,3,5,5,355,忠实用户
U000092,15,7,2683.61,3,4,5,345,忠实用户
U000093,64,1,118.86,1,1,1,111,流失用户
U000094,11,3,955.79,4,2,3,423,其他
U000095,3,8,2703.7599999999998,5,5,5,555,冠军用户
U000096,15,2,477.12,3,1,2,312,其他
U000097,1,4,1979.63,5,3,4,534,其他
U000098,7,2,466.40000000000003,4,1,2,412,新用户
U000099,4,3,1612.38,5,2,4,524,其他
U000100,1,6,1277.12,5,4,4,544,冠军用户
U000101,16,6,1802.48,3,4,4,344,忠实用户
U000102,7,2,325.08,4,1,1,411,新用户
U000104,8,5,905.13,4,4,3,443,其他
U000105,16,4,1090.74,3,3,3,333,其他
U000106,71,3,807.8299999999999,1,2,3,123,其他
U000107,37,3,268.84000000000003,2,2,1,221,其他
U000108,13,3,1285.6399999999999,3,2,4,324,其他
U000109,15,5,1025.4099999999999,3,4,3,343,其他
U000110,13,6,1914.86,3,4,4,344,忠实用户
U000111,10,1,19.14,4,1,1,411,新用户
U000112,39,1,64.49,1,1,1,111,流失用户
U000113,41,2,505.33,1,1,2,112,流失用户
U000114,11,2,100.60999999999999,4,1,1,411,新用户
U000115,41,3,619.3,1,2,2,122,其他
U000116,50,2,592.12,1,1,2,112,流失用户
U000117,7,3,1571.04,4,2,4,424,其他
U000118,8,6,889.33,4,4,3,443,其他
U000119,80,2,135.8,1,1,1,111,流失用户
U000120,6,3,425.38,4,2,2,422,新用户
U000121,29,3,1278.28,2,2,4,224,其他
U000122,42,4,805.8100000000001,1,3,3,133,其他
U000123,61,1,1398.28,1,1,4,114,大客户
U000124,53,1,488.96,1,1,2,112,流失用户
U000125,18,5,1374.8600000000001,3,4,4,344,忠实用户
U000126,60,1,323.54,1,1,1,111,流失用户
U000128,23,2,204.99,2,1,1,211,其他
U000129,21,1,231.37,2,1,1,211,其他
U000130,16,4,957.0799999999999,3,3,3,333,其他
U000131,14,4,1616.67,3,3,4,334,其他
U000132,7,13,7147.71,4,5,5,455,冠军用户
U000133,1,6,1673.78,5,4,4,544,冠军用户
U000134,1,5,1870.46,5,4,4,544,冠军用户
U000135,7,5,684.73,4,4,2,442,其他
U000136,26,1,307.77,2,1,1,211,其他
U000137,13,2,706.28,3,1,2,312,其他
U000138,2,6,1359.1599999999999,5,4,4,544,冠军用户
U000139,41,1,720.0,1,1,2,112,流失用户
U000140,0,5,700.65,5,4,2,542,其他
U000141,18,1,305.08,3,1,1,311,新用户
U000142,2,3,1325.77,5,2,4,524,其他
U000143,6,5,633.45,4,4,2,442,其他
U000144,47,3,340.34,1,2,1,121,流失用户
U000145,6,4,825.52,4,3,3,433,其他
U000146,2,10,1802.9,5,5,4,554,冠军用户
U000147,10,3,1130.47,4,2,3,423,其他
U000148,3,6,1292.2099999999998,5,4,4,544,冠军用户
U000149,19,4,553.68,3,3,2,332,其他
U000150,2,15,4726.43,5,5,5,555,冠军用户
U000151,5,11,1817.3000000000002,5,5,4,554,冠军用户
U000152,46,3,1282.47,1,2,4,124,其他
U000153,39,2,332.39000000000004,1,1,1,111,流失用户
U000154,29,7,2668.05,2,4,5,245,其他
U000155,35,4,1385.24,2,3,4,234,其他
U000156,13,7,2490.6299999999997,3,4,5,345,忠实用户
