order_id,user_id,product_id,quantity,unit_price,total_amount,order_time,status,payment_method
O00000001,U000001,P00376,1,175.43,526.29,2025-06-02 10:20:37.673423,pending,wechat_pay
O00000002,U000001,P00051,3,89.35,268.04999999999995,2025-05-18 02:34:37.673423,pending,alipay
O00000003,U000001,P00124,1,50.99,203.96,2025-06-01 09:46:37.673423,pending,credit_card
O00000004,U000001,P00052,2,138.39,415.16999999999996,2025-05-29 16:11:37.673423,pending,alipay
O00000005,U000001,P00078,4,96.38,192.76,2025-05-01 01:47:37.673423,pending,alipay
O00000006,U000001,P00081,2,96.39,192.78,2025-05-23 13:05:37.673423,completed,alipay
O00000007,U000001,P00052,1,138.39,415.16999999999996,2025-03-15 16:38:37.673423,pending,wechat_pay
O00000008,U000002,P00204,2,492.77,985.54,2025-05-19 18:38:37.673423,pending,credit_card
O00000009,U000003,P00085,4,33.38,100.14000000000001,2025-03-26 03:19:37.673423,pending,alipay
O00000010,U000003,P00010,3,13.62,54.48,2025-05-10 06:54:37.673423,pending,credit_card
O00000011,U000003,P00355,4,71.17,284.68,2025-05-05 15:29:37.673423,pending,credit_card
O00000012,U000003,P00035,4,135.45,541.8,2025-04-10 23:23:37.673423,cancelled,alipay
O00000013,U000003,P00364,3,35.47,106.41,2025-05-17 04:52:37.673423,cancelled,wechat_pay
O00000014,U000004,P00016,3,225.88,451.76,2025-05-21 04:42:37.673423,cancelled,credit_card
O00000015,U000004,P00412,4,163.56,490.68,2025-04-07 11:57:37.673423,pending,alipay
O00000016,U000004,P00172,4,94.29,377.16,2025-04-25 18:32:37.673423,pending,credit_card
O00000017,U000004,P00086,3,116.88,116.88,2025-04-30 23:55:37.673423,pending,credit_card
O00000018,U000004,P00044,4,181.87,545.61,2025-05-09 05:58:37.673423,pending,wechat_pay
O00000019,U000004,P00292,3,27.97,55.94,2025-04-25 10:08:37.673423,pending,credit_card
O00000020,U000005,P00285,1,18.21,18.21,2025-03-07 10:27:37.673423,completed,alipay
O00000021,U000005,P00345,3,36.73,36.73,2025-05-09 14:48:37.673423,cancelled,wechat_pay
O00000022,U000005,P00103,1,119.32,477.28,2025-05-15 12:10:37.673423,completed,alipay
O00000023,U000005,P00069,4,99.78,299.34000000000003,2025-05-08 15:08:37.673423,pending,credit_card
O00000024,U000005,P00166,3,194.26,388.52,2025-04-18 17:08:37.673423,pending,alipay
O00000025,U000005,P00314,2,166.01,332.02,2025-06-03 14:29:37.673423,pending,credit_card
O00000026,U000005,P00029,3,173.47,173.47,2025-04-06 02:47:37.673423,pending,credit_card
O00000027,U000005,P00435,1,54.78,219.12,2025-05-09 06:10:37.673423,pending,alipay
O00000028,U000005,P00119,3,64.22,192.66,2025-04-30 01:31:37.673423,completed,credit_card
O00000029,U000005,P00019,1,181.65,544.95,2025-05-29 06:49:37.673423,pending,wechat_pay
O00000030,U000006,P00291,3,123.14,369.42,2025-03-31 11:46:37.673423,pending,alipay
O00000031,U000007,P00268,3,149.34,298.68,2025-05-12 23:37:37.673423,completed,credit_card
O00000032,U000007,P00138,4,33.02,132.08,2025-03-20 20:18:37.673423,cancelled,credit_card
O00000033,U000008,P00006,3,154.95,464.84999999999997,2025-05-05 11:13:37.673423,pending,alipay
O00000034,U000008,P00113,4,121.68,121.68,2025-03-11 09:26:37.673423,pending,wechat_pay
O00000035,U000008,P00153,1,16.59,49.769999999999996,2025-05-01 23:38:37.673423,pending,wechat_pay
O00000036,U000008,P00252,3,184.72,184.72,2025-04-12 17:41:37.673423,completed,alipay
O00000037,U000009,P00205,2,27.59,110.36,2025-05-15 03:38:37.673423,cancelled,credit_card
O00000038,U000009,P00422,3,47.19,188.76,2025-03-30 14:05:37.673423,cancelled,credit_card
O00000039,U000009,P00244,4,83.93,335.72,2025-04-19 18:28:37.673423,cancelled,alipay
O00000040,U000009,P00478,4,216.02,864.08,2025-03-19 16:53:37.673423,pending,alipay
O00000041,U000009,P00465,2,68.65,205.95000000000002,2025-05-10 13:26:37.673423,completed,wechat_pay
O00000042,U000009,P00453,3,82.51,165.02,2025-03-26 14:48:37.673423,pending,credit_card
O00000043,U000010,P00492,2,65.48,261.92,2025-05-06 23:35:37.673423,completed,wechat_pay
O00000044,U000010,P00385,1,46.73,46.73,2025-03-24 16:05:37.673423,pending,wechat_pay
O00000045,U000010,P00488,4,103.31,413.24,2025-03-16 23:09:37.673423,cancelled,credit_card
O00000046,U000010,P00212,1,44.8,44.8,2025-04-12 18:43:37.673423,pending,credit_card
O00000047,U000010,P00255,4,13.51,54.04,2025-03-10 14:52:37.673423,pending,credit_card
O00000048,U000011,P00420,3,347.98,695.96,2025-03-26 13:39:37.673423,completed,alipay
O00000049,U000011,P00344,1,47.71,190.84,2025-04-21 05:26:37.673423,pending,alipay
O00000050,U000011,P00171,1,43.27,86.54,2025-05-19 20:24:37.673423,cancelled,alipay
O00000051,U000011,P00102,3,333.3,333.3,2025-04-03 13:56:37.673423,pending,alipay
O00000052,U000011,P00040,3,151.96,151.96,2025-04-08 12:54:37.673423,completed,alipay
O00000053,U000012,P00075,3,68.43,273.72,2025-04-13 19:44:37.673423,pending,credit_card
O00000054,U000012,P00157,1,135.94,543.76,2025-03-12 09:56:37.673423,pending,credit_card
O00000055,U000012,P00092,2,127.05,508.2,2025-04-16 10:42:37.673423,pending,credit_card
O00000056,U000013,P00439,3,32.23,128.92,2025-03-18 02:12:37.673423,cancelled,credit_card
O00000057,U000013,P00176,3,39.78,159.12,2025-03-12 15:43:37.673423,pending,wechat_pay
O00000058,U000013,P00196,2,161.52,323.04,2025-03-19 06:54:37.673423,pending,wechat_pay
O00000059,U000013,P00073,1,60.22,240.88,2025-03-10 01:37:37.673423,cancelled,alipay
O00000060,U000013,P00210,2,19.14,19.14,2025-05-23 21:24:37.673423,pending,alipay
O00000061,U000013,P00225,2,67.77,203.31,2025-03-18 14:04:37.673423,pending,wechat_pay
O00000062,U000013,P00396,1,185.01,370.02,2025-05-01 10:27:37.673423,pending,alipay
O00000063,U000013,P00419,2,154.35,154.35,2025-04-04 21:29:37.673423,cancelled,alipay
O00000064,U000013,P00350,2,39.7,79.4,2025-03-17 17:28:37.673423,completed,credit_card
O00000065,U000013,P00314,3,166.01,664.04,2025-05-05 10:15:37.673423,cancelled,wechat_pay
O00000066,U000013,P00016,1,225.88,903.52,2025-03-31 23:59:37.673423,cancelled,credit_card
O00000067,U000013,P00081,1,96.39,385.56,2025-03-28 06:25:37.673423,pending,alipay
O00000068,U000014,P00445,3,299.6,1198.4,2025-04-07 02:11:37.673423,pending,alipay
O00000069,U000015,P00011,4,37.34,37.34,2025-05-10 12:37:37.673423,pending,alipay
O00000070,U000015,P00145,1,51.37,205.48,2025-04-27 03:03:37.673423,pending,alipay
O00000071,U000015,P00112,2,59.29,118.58,2025-06-01 07:30:37.673423,pending,wechat_pay
O00000072,U000015,P00129,4,45.28,135.84,2025-05-27 10:34:37.673423,pending,alipay
O00000073,U000015,P00089,2,204.85,614.55,2025-06-02 12:31:37.673423,pending,wechat_pay
O00000074,U000015,P00370,4,266.67,266.67,2025-05-04 13:39:37.673423,cancelled,credit_card
O00000075,U000015,P00025,4,26.9,80.69999999999999,2025-03-21 00:19:37.673423,pending,wechat_pay
O00000076,U000016,P00336,4,47.93,191.72,2025-05-07 06:24:37.673423,pending,wechat_pay
O00000077,U000016,P00352,3,194.17,388.34,2025-04-10 22:42:37.673423,pending,credit_card
O00000078,U000016,P00004,1,125.19,375.57,2025-03-26 22:16:37.673423,cancelled,wechat_pay
O00000079,U000016,P00154,3,16.34,16.34,2025-03-22 17:28:37.673423,pending,credit_card
O00000080,U000016,P00209,4,105.01,420.04,2025-05-25 13:17:37.673423,completed,wechat_pay
O00000081,U000016,P00141,4,108.35,325.04999999999995,2025-03-07 08:02:37.673423,pending,wechat_pay
O00000082,U000016,P00476,3,33.35,66.7,2025-03-08 01:06:37.673423,pending,alipay
O00000083,U000016,P00233,2,235.35,706.05,2025-05-27 20:39:37.673423,cancelled,credit_card
O00000084,U000016,P00068,2,38.32,38.32,2025-05-29 18:08:37.673423,pending,credit_card
O00000085,U000016,P00288,4,385.24,1155.72,2025-03-09 10:17:37.673423,completed,alipay
O00000086,U000016,P00280,4,198.18,792.72,2025-05-02 18:36:37.673423,cancelled,alipay
O00000087,U000017,P00048,3,158.7,158.7,2025-05-03 22:55:37.673423,pending,alipay
O00000088,U000018,P00346,4,115.34,346.02,2025-05-02 07:48:37.673423,cancelled,alipay
O00000089,U000018,P00445,2,299.6,299.6,2025-06-04 01:08:37.673423,completed,alipay
O00000090,U000018,P00478,4,216.02,432.04,2025-05-15 20:27:37.673423,completed,wechat_pay
O00000091,U000018,P00016,2,225.88,677.64,2025-05-29 17:32:37.673423,pending,wechat_pay
O00000092,U000020,P00140,4,21.78,87.12,2025-05-03 11:33:37.673423,completed,wechat_pay
O00000093,U000020,P00492,3,65.48,196.44,2025-04-12 13:58:37.673423,pending,alipay
O00000094,U000020,P00162,4,27.28,27.28,2025-06-04 13:53:37.673423,cancelled,wechat_pay
O00000095,U000020,P00142,1,85.26,255.78000000000003,2025-05-22 16:41:37.673423,pending,credit_card
O00000096,U000020,P00086,2,116.88,350.64,2025-04-01 20:10:37.673423,cancelled,wechat_pay
O00000097,U000020,P00490,3,25.35,101.4,2025-05-12 09:18:37.673423,pending,credit_card
