user_id,username,age,gender,city,register_date,user_level
U000001,changlei,56,F,广州市,2024-12-28,Bronze
U000002,zhengxia,25,F,嘉禾市,2023-06-28,Bronze
U000003,jiajun,36,M,拉萨县,2023-11-23,Silver
U000004,ryan,53,M,南京县,2024-02-24,Silver
U000005,jie35,19,F,西宁县,2023-08-19,Platinum
U000006,ming94,19,M,宜都市,2025-05-21,Bronze
U000007,jdong,29,F,畅市,2024-12-03,Bronze
U000008,chengyong,42,M,辛集市,2025-03-30,Silver
U000009,guiyingqian,59,M,淑英县,2023-10-09,Platinum
U000010,ming34,32,M,成都市,2023-10-09,Gold
U000011,rqian,61,M,兴城市,2023-11-29,Silver
U000012,luna,20,F,鑫市,2025-05-14,Silver
U000013,juan76,26,M,建县,2023-09-21,Platinum
U000014,xiaxia,31,F,琳县,2024-03-12,Bronze
U000015,jiewei,19,F,俊市,2025-04-03,Silver
U000016,guyang,24,F,嘉禾市,2024-03-29,Gold
U000017,dyang,52,F,磊市,2024-11-15,Bronze
U000018,yang51,57,F,淑兰市,2024-05-22,Silver
U000019,leiwei,59,F,东莞市,2025-04-11,Bronze
U000020,yang89,35,F,长沙县,2025-01-17,Platinum
U000021,xiawu,53,F,兴城县,2023-06-20,Platinum
U000022,panli,25,F,呼和浩特市,2025-04-16,Silver
U000023,dongtao,57,F,六盘水市,2023-09-12,Gold
U000024,kxiao,64,F,玉华市,2025-05-26,Bronze
U000025,yanlong,62,M,柳县,2025-05-03,Gold
U000026,pfeng,18,M,石家庄县,2023-06-21,Silver
U000027,xiulanjiang,18,M,乌鲁木齐市,2023-11-29,Bronze
U000028,chenmin,28,M,梧州市,2024-01-07,Gold
U000029,ijia,52,F,深圳市,2025-02-03,Bronze
U000030,mren,56,F,西安县,2024-03-06,Platinum
U000031,dren,26,F,西安市,2024-04-12,Bronze
U000032,guiying33,40,F,六盘水县,2023-09-21,Silver
U000033,rhe,61,F,艳市,2024-05-14,Gold
U000034,cuiyang,18,M,西宁市,2023-10-12,Platinum
U000035,etian,20,F,马鞍山市,2023-10-10,Silver
U000036,ybai,31,M,淑英县,2024-04-28,Silver
U000037,mgu,32,M,红霞市,2024-08-27,Silver
U000038,lufang,49,F,潮州市,2023-07-19,Bronze
U000039,hegang,49,F,台北县,2023-09-06,Bronze
U000040,xiulanyang,56,M,兰州县,2024-10-27,Gold
U000041,lei35,53,F,澳门县,2023-09-14,Silver
U000042,qiang51,39,F,宜都市,2023-07-31,Silver
U000043,weilei,23,M,哈尔滨市,2025-04-17,Bronze
U000044,mingliao,37,F,潜江县,2024-09-22,Silver
U000045,zhaoxia,45,M,旭市,2023-12-27,Platinum
U000046,fanxia,18,M,通辽县,2024-09-16,Silver
U000047,yanmao,30,F,澳门县,2023-12-17,Bronze
U000048,duyang,25,F,丹市,2023-06-07,Silver
U000049,jie42,50,M,琳市,2023-08-30,Bronze
U000050,zhoujie,32,M,张家港市,2024-05-03,Bronze
U000051,fanglong,41,F,刚县,2023-11-15,Bronze
U000052,yongfan,29,M,桂荣市,2025-05-24,Silver
U000053,jinghao,54,M,杰市,2024-12-28,Bronze
U000054,ping34,19,M,银川县,2025-04-12,Bronze
U000055,tangjun,54,M,宜都县,2024-01-28,Silver
U000056,junchang,19,F,马鞍山县,2024-01-07,Silver
U000057,liangming,23,M,玉英市,2023-09-02,Silver
U000058,jing94,28,M,银川县,2024-02-28,Bronze
U000059,ping98,55,M,六安市,2023-12-19,Silver
U000060,zouping,23,M,柳州市,2024-03-13,Gold
U000061,qdeng,33,F,玉梅市,2024-12-15,Bronze
U000062,wei46,23,F,秀云县,2024-08-08,Gold
U000063,juanshao,53,M,雷县,2024-04-15,Silver
U000064,liuli,36,M,荆门县,2024-05-31,Bronze
U000065,rsong,58,F,梧州县,2025-02-10,Bronze
U000066,yongdong,35,F,颖市,2025-03-01,Silver
U000067,yonglong,42,M,拉萨市,2023-06-23,Silver
U000068,kongtao,59,M,宜都县,2025-04-23,Silver
U000069,yanzhu,43,F,金凤县,2023-12-11,Silver
U000070,yangzhou,19,F,银川县,2023-11-21,Platinum
U000071,yanwen,22,F,辉市,2025-05-17,Silver
U000072,sunjie,26,M,玉珍县,2024-09-22,Gold
U000073,cxiao,33,F,深圳县,2023-12-23,Gold
U000074,yangliang,50,F,秀英县,2024-05-11,Bronze
U000075,liaojun,25,F,颖县,2025-04-28,Silver
U000076,gaojie,52,M,六安市,2024-12-04,Platinum
U000077,gangshao,42,M,玉英县,2024-04-22,Bronze
U000078,huangping,35,M,军县,2024-06-09,Silver
U000079,moli,58,M,婷婷市,2024-06-18,Bronze
U000080,leishi,31,M,涛县,2024-02-21,Gold
U000081,dhan,25,F,六盘水市,2025-05-09,Silver
U000082,kyan,50,F,兰州县,2023-09-18,Silver
U000083,dhe,39,M,春梅县,2023-11-16,Bronze
U000084,vluo,55,F,萍县,2023-12-17,Silver
U000085,tangchao,25,F,哈尔滨市,2024-10-21,Gold
U000086,zengfang,47,F,海口市,2025-03-17,Silver
U000087,yijie,50,M,太原县,2024-11-05,Gold
U000088,xiongjuan,36,F,霞县,2023-10-13,Gold
U000089,guoli,34,F,重庆县,2024-08-25,Silver
U000090,tqin,63,F,乌鲁木齐市,2023-08-23,Bronze
U000091,yong91,58,F,哈尔滨县,2024-10-30,Bronze
U000092,gang85,63,F,宁德县,2023-08-25,Platinum
U000093,opan,50,M,建军县,2023-10-19,Bronze
U000094,xiuying87,49,F,淑兰县,2024-02-10,Bronze
U000095,gangliang,35,F,丽县,2024-08-20,Platinum
U000096,bmao,20,F,晶市,2024-06-17,Bronze
U000097,minglei,49,F,萍县,2024-08-09,Bronze
U000098,wenjuan,44,M,台北县,2024-06-18,Bronze
U000099,yantang,57,F,秀芳市,2023-08-16,Gold
U000100,jun63,56,M,洁县,2024-08-07,Gold
U000101,ping85,52,M,淑英县,2024-01-29,Silver
U000102,jun13,24,M,欢市,2023-10-31,Gold
U000103,taoliang,18,M,帅市,2024-01-21,Bronze
U000104,minghao,31,F,洋市,2024-01-04,Bronze
U000105,cuixia,45,F,阳县,2023-08-23,Silver
U000106,xuli,39,M,荣县,2024-02-24,Bronze
U000107,fanglai,39,F,林市,2024-04-11,Bronze
U000108,kding,59,F,长沙市,2025-02-24,Bronze
U000109,gang31,54,F,芳县,2024-05-19,Gold
U000110,lliu,61,F,秀珍市,2024-09-20,Silver
U000111,huangyang,23,M,澳门市,2023-10-04,Silver
U000112,jingxiao,64,F,南京市,2024-04-17,Bronze
